{query} {average}
{armchair} {0.0225525882909}
{ashtray} {0.0787388113131}
{axe} {0.0320168204685}
{bear (animal)} {0.0522638563521}
{bulldozer} {0.136002135511}
{cabinet} {0.0536698389002}
{calculator} {0.739661929048}
{car (sedan)} {0.292364251689}
{carrot} {0.0937964681262}
{computer monitor} {0.451125373193}
{couch} {0.106596194719}
{crocodile} {0.0684048543294}
{cup} {0.013678870282}
{dolphin} {0.0259640706078}
{donut} {0.535681076726}
{door handle} {0.0242716910064}
{face} {0.0771986743993}
{flashlight} {0.0321669285782}
{fork} {0.0286871871383}
{frying-pan} {0.076715478212}
{grenade} {0.439927022483}
{hamburger} {0.353251350475}
{hammer} {0.0253175638041}
{laptop} {0.21954904485}
{lightbulb} {0.143284422387}
{lion} {0.0338116137689}
{mermaid} {0.0365763398856}
{mouth} {0.112762342416}
{parrot} {0.0261091363098}
{pear} {0.534887567301}
{person sitting} {0.0689812873271}
{piano} {0.0254585271822}
{pumpkin} {0.171488986889}
{race car} {0.175208220575}
{satellite dish} {0.0178606862519}
{saxophone} {0.016927004404}
{seagull} {0.0203834698495}
{sheep} {0.314458004085}
{skull} {0.245156548122}
{socks} {0.0345378435537}
{speed-boat} {0.041788010211}
{squirrel} {0.0938300051329}
{standing bird} {0.0205481756622}
{stapler} {0.0719310173212}
{tennis-racket} {0.271194213802}
{traffic light} {0.0993125470447}
{trumpet} {0.237009147021}
{violin} {0.0237670806554}
{windmill} {0.285641878808}
{wineglass} {0.397461016558}
