{query} {average}
{armchair} {0.0275323802725}
{ashtray} {0.0750173571717}
{axe} {0.0801018539589}
{bear (animal)} {0.067158591213}
{bulldozer} {0.0878408072224}
{cabinet} {0.0382181499022}
{calculator} {0.573217245949}
{car (sedan)} {0.219068042818}
{carrot} {0.0712374840343}
{computer monitor} {0.159048706436}
{couch} {0.0619696107317}
{crocodile} {0.0479945970008}
{cup} {0.0246541496571}
{dolphin} {0.0240572817575}
{donut} {0.38200067812}
{door handle} {0.0365848655311}
{face} {0.0549210691847}
{flashlight} {0.0499806519946}
{fork} {0.376792520163}
{frying-pan} {0.103733476215}
{grenade} {0.247816422617}
{hamburger} {0.0751361485777}
{hammer} {0.064371378882}
{laptop} {0.0239038115531}
{lightbulb} {0.254354547037}
{lion} {0.0337692885096}
{mermaid} {0.0535785141255}
{mouth} {0.0815679661724}
{parrot} {0.021996544702}
{pear} {0.623439327152}
{person sitting} {0.0393680066697}
{piano} {0.0644239144216}
{pumpkin} {0.456146056222}
{race car} {0.0909480902204}
{satellite dish} {0.0326113527748}
{saxophone} {0.0219560771446}
{seagull} {0.0252131858318}
{sheep} {0.0846820334796}
{skull} {0.306102296659}
{socks} {0.0785888548447}
{speed-boat} {0.0522635065184}
{squirrel} {0.0365155453477}
{standing bird} {0.0237353355189}
{stapler} {0.0495666050723}
{tennis-racket} {0.180516157599}
{traffic light} {0.109101136574}
{trumpet} {0.11487988139}
{violin} {0.0335162840616}
{windmill} {0.105031921594}
{wineglass} {0.0690536662693}
