{query} {average}
{armchair} {0.0258886849179}
{ashtray} {0.0631579201156}
{axe} {0.193849462687}
{bear (animal)} {0.0520365866128}
{bulldozer} {0.0422435787502}
{cabinet} {0.0820619215562}
{calculator} {0.643179938359}
{car (sedan)} {0.196705166286}
{carrot} {0.172585331116}
{computer monitor} {0.53416138723}
{couch} {0.158136180561}
{crocodile} {0.0438329579756}
{cup} {0.0234839639601}
{dolphin} {0.0437897945356}
{donut} {0.434092893073}
{door handle} {0.0625766224768}
{face} {0.0353778676955}
{flashlight} {0.076768173942}
{fork} {0.116692916525}
{frying-pan} {0.114397014229}
{grenade} {0.196474647757}
{hamburger} {0.397816977892}
{hammer} {0.0675847592059}
{laptop} {0.117297963564}
{lightbulb} {0.10134208194}
{lion} {0.0152260255379}
{mermaid} {0.0167272223389}
{mouth} {0.179143487822}
{parrot} {0.0203063784052}
{pear} {0.71221362521}
{person sitting} {0.0240763092406}
{piano} {0.0134571251463}
{pumpkin} {0.0506174308429}
{race car} {0.139159824565}
{satellite dish} {0.0166909628338}
{saxophone} {0.0191735842715}
{seagull} {0.0223200996307}
{sheep} {0.218680561658}
{skull} {0.0887520940122}
{socks} {0.0668905156326}
{speed-boat} {0.0420031229317}
{squirrel} {0.0401640746437}
{standing bird} {0.0231653224462}
{stapler} {0.136932957418}
{tennis-racket} {0.0142908286161}
{traffic light} {0.292032372602}
{trumpet} {0.157905520879}
{violin} {0.0213731058391}
{windmill} {0.0912489638696}
{wineglass} {0.514150035768}
