{query} {average}
{armchair} {0.0264939940263}
{ashtray} {0.0946324528974}
{axe} {0.0900593321386}
{bear (animal)} {0.0602568510839}
{bulldozer} {0.0898495077218}
{cabinet} {0.0399951075004}
{calculator} {0.528637999336}
{car (sedan)} {0.314201981192}
{carrot} {0.0851543980681}
{computer monitor} {0.166021564007}
{couch} {0.0400274139918}
{crocodile} {0.0546175427012}
{cup} {0.0271238703356}
{dolphin} {0.0367749908952}
{donut} {0.518829466595}
{door handle} {0.0212577746673}
{face} {0.0866884300841}
{flashlight} {0.0642630204565}
{fork} {0.336378138412}
{frying-pan} {0.0995736264349}
{grenade} {0.165147141969}
{hamburger} {0.146134211161}
{hammer} {0.0770754534944}
{laptop} {0.032636119214}
{lightbulb} {0.0526915914435}
{lion} {0.0517091186632}
{mermaid} {0.0399227087859}
{mouth} {0.19276137662}
{parrot} {0.0271722611626}
{pear} {0.698610102213}
{person sitting} {0.0795617174205}
{piano} {0.0990929016093}
{pumpkin} {0.415809368211}
{race car} {0.0992757931063}
{satellite dish} {0.0519938364578}
{saxophone} {0.0204159176686}
{seagull} {0.0305436347415}
{sheep} {0.0679720506742}
{skull} {0.24850221078}
{socks} {0.0922017623164}
{speed-boat} {0.0406274033551}
{squirrel} {0.0944762789661}
{standing bird} {0.0407280298696}
{stapler} {0.0438812031278}
{tennis-racket} {0.165395935201}
{traffic light} {0.108548452979}
{trumpet} {0.113438718345}
{violin} {0.0453039750201}
{windmill} {0.152038944136}
{wineglass} {0.178780067246}
